card_date,red_name,blue_name,method,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue,max_bout_duration,actual_bout_duration,red_win,blue_win
2022-12-17,Bryan Battle,Rinat Fakhretdinov,Decision - Unanimous,Welterweight,16,3,68,43,42,25,149,102,1,0,9,7,0,0,0,0,0,851,11,1,62,38,4,1,3,2,1,1,3,3,16,3,11,8,0,0,3,2,0,0,54,33,900,900,No,Yes
2022-12-17,David Dvorak,Manel Kape,Decision - Unanimous,Flyweight,94,33,119,58,122,55,136,67,3,2,0,0,0,2,0,1,162,57,68,17,85,33,12,6,26,19,14,10,8,6,91,31,99,44,2,1,5,5,1,1,15,9,900,900,No,Yes
2022-12-17,Sergey Morozov,Journey Newson,Decision - Unanimous,Bantamweight,105,30,106,26,145,65,136,49,13,6,2,0,0,0,0,0,419,0,76,7,78,10,12,8,14,7,17,15,14,9,88,16,104,25,11,9,2,1,6,5,0,0,900,900,Yes,No
2022-12-10,Jan Blachowicz,Magomed Ankalaev,Decision - Split,UFC Light Heavyweight Title,117,55,184,78,141,79,312,191,0,0,10,2,0,0,0,0,0,680,71,19,139,49,17,11,33,19,29,25,12,10,109,50,134,50,7,5,8,6,1,0,42,22,1500,1500,No,No
2022-12-10,Paddy Pimblett,Jared Gordon,Decision - Unanimous,Lightweight,155,63,103,60,194,97,143,100,3,0,6,3,0,0,0,0,35,388,122,33,62,32,16,13,27,14,17,17,14,14,139,54,94,53,15,8,6,5,1,1,3,2,900,900,Yes,No
2022-12-10,Santiago Ponzinibbio,Alex Morono,KO/TKO,Catch Weight,155,66,131,38,155,66,131,38,1,0,0,0,0,0,0,0,1,8,99,31,120,34,47,26,11,4,9,9,0,0,153,65,124,34,0,0,0,0,2,1,7,4,900,749,Yes,No
2022-12-10,Darren Till,Dricus Du Plessis,Submission,Middleweight,70,35,147,86,94,58,197,117,1,1,6,6,0,3,1,0,23,333,57,26,123,69,9,6,7,4,4,3,17,13,60,29,59,28,1,1,40,25,9,5,48,33,900,763,No,Yes
2022-12-10,Bryce Mitchell,Ilia Topuria,Submission,Featherweight,82,36,77,40,94,46,93,53,9,1,0,0,0,1,0,0,89,78,57,22,63,34,22,11,13,5,3,3,1,1,79,34,64,29,1,1,4,3,2,1,9,8,900,490,No,Yes
2022-12-10,Raul Rosas Jr.,Jay Perrin,Submission,Bantamweight,7,3,8,4,14,9,8,4,3,2,0,0,2,0,0,0,132,0,5,2,7,3,0,0,0,0,2,1,1,1,7,3,8,4,0,0,0,0,0,0,0,0,900,164,Yes,No
2022-12-10,Jairzinho Rozenstruik,Chris Daukaus,KO/TKO,Heavyweight,21,12,1,1,21,12,1,1,0,0,0,0,0,0,0,0,6,0,21,12,1,1,0,0,0,0,0,0,0,0,16,9,1,1,1,0,0,0,4,3,0,0,900,23,Yes,No
