card_date,card_name,red_name,blue_name,winner_name,loser_name,winner_color,loser_color,match_result,num_rounds,time,method,time_format,referee_name,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,JunYong Park,Denis Tiuliulin,JunYong Park,Denis Tiuliulin,red,blue,W/L,1,4:05,Submission,3,Mark Smith,Middleweight,38,25,22,8,52,38,22,8,3,1,0,0,1,0,0,0,2:58,0:00,33,20,16,4,1,1,6,4,4,4,0,0,27,15,22,8,0,0,0,0,11,10,0,0
"February 04, 2023",UFC Fight Night: Lewis vs. Spivac,Tatsuro Taira,Jesus Aguilar,Tatsuro Taira,Jesus Aguilar,red,blue,W/L,1,4:20,Submission,3,Chris Tognoni,Flyweight,1,1,2,2,5,5,2,2,1,1,0,0,2,1,0,0,3:49,0:23,1,1,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,1,1,0,0
"January 21, 2023",UFC 283: Teixeira vs. Hill,Glover Teixeira,Jamahal Hill,Jamahal Hill,Glover Teixeira,blue,red,W/L,5,5:00,Decision - Unanimous,5,Marc Goddard,UFC Light Heavyweight Title,160,75,402,232,196,108,419,248,17,2,0,0,0,0,0,1,3:26,3:26,136,52,343,180,20,19,49,42,4,4,10,10,145,65,347,188,6,5,21,18,9,5,34,26
"January 21, 2023",UFC 283: Teixeira vs. Hill,Deiveson Figueiredo,Brandon Moreno,Brandon Moreno,Deiveson Figueiredo,blue,red,W/L,3,5:00,TKO - Doctor's Stoppage,5,Herb Dean,UFC Flyweight Title,43,19,74,48,48,24,111,85,2,1,6,3,2,0,0,0,0:35,6:52,30,8,61,37,9,8,9,7,4,3,4,4,35,15,52,34,0,0,6,3,8,4,16,11
"January 21, 2023",UFC 283: Teixeira vs. Hill,Gilbert Burns,Neil Magny,Gilbert Burns,Neil Magny,red,blue,W/L,1,4:15,Submission,3,Fernando Portella,Welterweight,6,5,11,4,12,10,11,4,1,1,0,0,1,0,0,0,2:35,0:00,5,4,8,2,1,1,2,1,0,0,1,1,4,3,11,4,0,0,0,0,2,2,0,0
"January 21, 2023",UFC 283: Teixeira vs. Hill,Lauren Murphy,Jessica Andrade,Jessica Andrade,Lauren Murphy,blue,red,W/L,3,5:00,Decision - Unanimous,3,Osiris Maia,Women's Flyweight,293,100,369,231,296,103,375,237,15,0,1,1,0,0,0,0,0:09,1:11,268,81,292,161,19,14,27,23,6,5,50,47,276,90,338,208,17,10,30,22,0,0,1,1
"January 21, 2023",UFC 283: Teixeira vs. Hill,Paul Craig,Johnny Walker,Johnny Walker,Paul Craig,blue,red,W/L,1,2:16,KO/TKO,3,Herb Dean,Light Heavyweight,8,3,20,16,8,3,21,17,0,0,0,0,0,0,0,0,0:00,0:04,3,0,16,12,2,1,1,1,3,2,3,3,8,3,9,6,0,0,5,5,0,0,6,5
"January 21, 2023",UFC 283: Teixeira vs. Hill,Mauricio Rua,Ihor Potieria,Ihor Potieria,Mauricio Rua,blue,red,W/L,1,4:05,KO/TKO,3,Herb Dean,Light Heavyweight,31,17,41,21,35,21,47,27,0,0,2,0,0,0,0,0,0:01,0:38,17,4,35,16,4,3,4,3,10,10,2,2,31,17,31,13,0,0,6,5,0,0,4,3
"January 21, 2023",UFC 283: Teixeira vs. Hill,Gregory Rodrigues,Brunno Ferreira,Brunno Ferreira,Gregory Rodrigues,blue,red,W/L,1,4:13,KO/TKO,3,Fernando Portella,Middleweight,41,21,45,22,41,21,46,23,0,0,2,0,0,0,0,0,0:10,0:01,35,16,37,15,6,5,3,2,0,0,5,5,39,19,43,20,2,2,1,1,0,0,1,1
"January 21, 2023",UFC 283: Teixeira vs. Hill,Thiago Moises,Melquizael Costa,Thiago Moises,Melquizael Costa,red,blue,W/L,2,4:05,Submission,3,Osiris Maia,Lightweight,33,22,50,23,58,45,71,43,7,4,0,0,1,0,0,0,5:31,0:02,25,14,19,2,7,7,18,10,1,1,13,11,21,11,45,21,2,1,5,2,10,10,0,0
